Datetime,Open,High,Low,Close,Adj Close,Volume
2022-03-07 08:00:00+00:00,37975.8515625,38039.92578125,37937.1640625,38023.26171875,38023.26171875,114440192
2022-03-07 08:15:00+00:00,38027.31640625,38027.31640625,37843.83984375,37845.671875,37845.671875,79015936
2022-03-07 08:30:00+00:00,37856.34765625,37978.42578125,37794.49609375,37978.42578125,37978.42578125,233744384
2022-03-07 08:45:00+00:00,37984.02734375,38118.87890625,37984.02734375,38114.5859375,38114.5859375,164151296
2022-03-07 09:00:00+00:00,38129.47265625,38321.5390625,38129.47265625,38320.66796875,38320.66796875,222185472
2022-03-07 09:15:00+00:00,38320.765625,38320.765625,38277.52734375,38283.74609375,38283.74609375,17219584
2022-03-07 09:30:00+00:00,38285.22265625,38285.22265625,38208.0,38227.54296875,38227.54296875,13426688
2022-03-07 09:45:00+00:00,38231.80859375,38260.1171875,38178.71484375,38190.48828125,38190.48828125,15618048
2022-03-07 10:00:00+00:00,38188.6640625,38190.93359375,38162.75,38180.59765625,38180.59765625,0
2022-03-07 10:15:00+00:00,38186.2265625,38250.390625,38186.2265625,38239.5078125,38239.5078125,0
2022-03-07 10:30:00+00:00,38227.33203125,38240.796875,38116.41015625,38240.796875,38240.796875,62023680
2022-03-07 10:45:00+00:00,38239.38671875,38240.2421875,38178.01171875,38187.9375,38187.9375,0
2022-03-07 11:00:00+00:00,38101.65625,38126.40625,38066.84375,38126.40625,38126.40625,4859904
2022-03-07 11:15:00+00:00,38125.3046875,38249.57421875,38125.3046875,38246.734375,38246.734375,83914752
2022-03-07 11:30:00+00:00,38242.375,38319.1953125,38242.375,38318.73828125,38318.73828125,34070528
2022-03-07 11:45:00+00:00,38319.7578125,38356.453125,38319.7578125,38356.453125,38356.453125,37906432
2022-03-07 12:00:00+00:00,38365.26953125,38507.1015625,38365.26953125,38481.45703125,38481.45703125,208424960
2022-03-07 12:15:00+00:00,38481.7109375,38670.4375,38479.60546875,38663.2265625,38663.2265625,187525120
2022-03-07 12:30:00+00:00,38666.67578125,38727.98046875,38651.33203125,38673.17578125,38673.17578125,102873088
2022-03-07 12:45:00+00:00,38673.53515625,38673.53515625,38620.48828125,38667.9296875,38667.9296875,67371008
2022-03-07 13:00:00+00:00,38662.4765625,38706.46875,38611.109375,38706.46875,38706.46875,57944064
2022-03-07 13:15:00+00:00,38709.22265625,38747.65234375,38685.0625,38685.0625,38685.0625,35653632
2022-03-07 13:30:00+00:00,38692.01171875,38923.37109375,38688.265625,38923.37109375,38923.37109375,274053120
2022-03-07 13:45:00+00:00,38958.76953125,39089.0625,38958.76953125,39029.85546875,39029.85546875,451076096
2022-03-07 14:00:00+00:00,39023.4375,39206.30859375,38975.609375,39141.6484375,39141.6484375,349143040
2022-03-07 14:15:00+00:00,39144.3359375,39189.5390625,39101.38671875,39185.4375,39185.4375,202326016
2022-03-07 14:30:00+00:00,39176.98828125,39199.3203125,39087.01171875,39110.49609375,39110.49609375,213209088
2022-03-07 14:45:00+00:00,39073.6484375,39073.6484375,38944.28515625,38970.94921875,38970.94921875,224210944
2022-03-07 15:00:00+00:00,38951.109375,38987.890625,38908.671875,38955.01171875,38955.01171875,160905216
2022-03-07 15:15:00+00:00,38948.72265625,38948.72265625,38744.87109375,38785.53515625,38785.53515625,177711104
2022-03-07 15:30:00+00:00,38793.6328125,39085.40625,38793.6328125,39076.12890625,39076.12890625,446607360
2022-03-07 15:45:00+00:00,39066.10546875,39096.59375,39032.65625,39042.828125,39042.828125,102369280
2022-03-07 16:00:00+00:00,39056.62109375,39430.2265625,39056.62109375,39421.77734375,39421.77734375,301846528
2022-03-07 16:15:00+00:00,39394.40234375,39394.8125,39348.890625,39394.8125,39394.8125,34258944
2022-03-07 16:30:00+00:00,39394.80078125,39394.80078125,39153.84375,39153.84375,39153.84375,8249344
2022-03-07 16:45:00+00:00,39108.20703125,39108.20703125,38871.68359375,38871.68359375,38871.68359375,268140544
2022-03-07 17:00:00+00:00,38870.78125,38870.78125,38776.44921875,38808.58203125,38808.58203125,46837760
2022-03-07 17:15:00+00:00,38786.96875,38786.96875,38738.0703125,38738.0703125,38738.0703125,105512960
2022-03-07 17:30:00+00:00,38744.96875,38792.8828125,38707.30859375,38792.8828125,38792.8828125,236646400
2022-03-07 17:45:00+00:00,38789.50390625,38927.44921875,38789.50390625,38798.75,38798.75,265297920
2022-03-07 18:00:00+00:00,38796.140625,38796.140625,38219.76171875,38226.65625,38226.65625,336070656
2022-03-07 18:15:00+00:00,38213.734375,38213.734375,38059.42578125,38059.42578125,38059.42578125,228079616
2022-03-07 18:30:00+00:00,38057.79296875,38086.1953125,37939.5703125,37977.8125,37977.8125,91351040
2022-03-07 18:45:00+00:00,37987.109375,38094.80078125,37987.109375,38035.73828125,38035.73828125,108447744
2022-03-07 19:00:00+00:00,38040.14453125,38042.890625,37983.26953125,38037.34375,38037.34375,100784128
2022-03-07 19:15:00+00:00,38034.5234375,38034.5234375,37883.56640625,37890.14453125,37890.14453125,125997056
2022-03-07 19:30:00+00:00,37900.66796875,37900.66796875,37463.8515625,37463.8515625,37463.8515625,608890880
2022-03-07 19:45:00+00:00,37448.4609375,37448.4609375,37337.28515625,37351.30078125,37351.30078125,167712768
2022-03-07 20:00:00+00:00,37372.9375,37372.9375,37260.203125,37346.125,37346.125,225447936
2022-03-07 20:15:00+00:00,37371.40234375,37656.078125,37371.40234375,37656.078125,37656.078125,397864960
2022-03-07 20:30:00+00:00,37659.1328125,37701.7890625,37539.4765625,37586.90625,37586.90625,201435136
2022-03-07 20:45:00+00:00,37597.90234375,37642.0078125,37572.35546875,37592.2109375,37592.2109375,270198784
2022-03-07 21:00:00+00:00,37581.1640625,37682.8125,37558.328125,37682.8125,37682.8125,13357056
2022-03-07 21:15:00+00:00,37717.390625,38113.15625,37717.390625,37863.9765625,37863.9765625,497733632
2022-03-07 21:30:00+00:00,37862.4765625,37864.04296875,37683.75,37864.04296875,37864.04296875,165980160
2022-03-07 21:45:00+00:00,37855.328125,37997.1484375,37855.328125,37919.30078125,37919.30078125,139786240
2022-03-07 22:00:00+00:00,37916.03125,38105.921875,37872.54296875,38104.6484375,38104.6484375,173547520
2022-03-07 22:15:00+00:00,38118.2890625,38172.44921875,38046.859375,38172.44921875,38172.44921875,204363776
2022-03-07 22:30:00+00:00,38174.52734375,38382.41796875,38173.3125,38352.796875,38352.796875,287467520
2022-03-07 22:45:00+00:00,38355.78515625,38363.33203125,38138.984375,38160.0,38160.0,73639936
2022-03-07 23:00:00+00:00,38165.96484375,38291.33984375,38165.96484375,38212.48046875,38212.48046875,13244416
2022-03-07 23:15:00+00:00,38202.92578125,38216.78125,38136.96484375,38197.5078125,38197.5078125,0
2022-03-07 23:30:00+00:00,38208.90625,38451.64453125,38208.90625,38304.96875,38304.96875,130060288
